z,ObjID,cmodelMag_u,cmodelMag_r,ra,dec,absMagR
0.01751824,1237658203969880216,17.6479,16.27553,168.394829465757,48.309103488465,-20.1389
0.01773591,1237657776612049088,18.68063,16.80897,124.049434959076,33.9388219688355,-18.4542
0.01768062,1237657191444054061,18.21751,16.87547,4.47592448516912,0.329300313623349,-18.1408
0.01808284,1237657191444054059,16.33233,14.72722,4.48080338961296,0.33523479106179,-20.4576
0.01737492,1237657190914523209,19.09816,17.7844,21.2779001660621,-0.13527982347699,-18.0697
0.0173114,1237657190914457685,20.28915,18.67485,21.0799424040625,-0.0512282829540922,-16.7671
0.01774534,1237655347818201239,18.77193,17.22575,238.608465620041,48.0587487641983,-17.5987
0.01755854,1237654605865222344,18.52783,17.00671,166.06078976836,5.12684683926728,-18.1485
0.01748865,1237652944240246881,16.90417,14.42544,339.207717586404,14.3869490214119,-21.292
0.01735455,1237652901847171254,18.93206,17.68223,58.2407435360071,-5.07994175428076,-18.0741
0.01730411,1237652900767268885,15.30061,13.67843,44.2682091357159,-7.68564485114171,-24.1916
0.01798932,1237652900761763948,16.79501,19.19293,31.5885303711747,-8.87172692352704,-16.4601
0.01841231,1237652900761763926,17.93788,16.87311,31.5842329301843,-8.88263646000009,-16.4173
0.01793304,1237652900760584443,19.06697,17.56529,28.9358520167082,-9.03820214284118,-16.7034
0.0173536,1237652900760584285,16.18176,14.25754,28.839720442706,-9.0837591604474,-22.3064
0.01792745,1237652900757504086,17.76702,16.27269,21.7549163406126,-9.3983956630183,-18.5804
0.01802304,1237652900234723636,17.91272,15.75072,54.2383179325238,-6.81335543627216,-19.8655
0.0180971,1237652899135488125,16.89466,15.63942,355.305538576664,-10.991697744315,-19.246
0.01795836,1237651754553245950,17.75891,16.60925,193.885720760752,2.93976191791076,-18.4953
0.01740832,1237651752942239897,18.10969,16.93752,192.911178783202,1.67082150011874,-17.1766
0.01735859,1237651752403927207,16.37768,14.55959,189.64966204996,1.40229234541441,-20.4341
0.01766613,1237651495761412288,17.14457,15.27723,127.279804045888,52.03203951118,-20.376
0.01742278,1237651272423702764,17.65433,15.65364,127.484446063171,51.9734675434828,-19.3774
0.01773773,1237651212826116334,18.66525,16.80662,261.285001820695,54.3084463889956,-19.0667
0.01860346,1237650795144282316,17.72832,16.32628,141.59591683701,-0.717584960915233,-17.5758
0.0179398,1237650369943699737,17.46068,15.63585,176.870382915503,-3.04146315004248,-19.5456
0.01766202,1237649964070011010,18.72036,16.51307,59.5806437323174,-4.73048213612393,-18.7261
0.0176208,1237649962990633059,17.73043,16.17832,46.7362107115975,-7.21713420245502,-18.4192
0.01743925,1237649962457891020,17.50913,16.19954,56.3476017139668,-6.45912610828289,-18.1988
0.01784641,1237649962457170176,18.20089,17.01151,54.6070233823083,-6.63639428200782,-17.8116
0.01735902,1237649919507955919,18.43087,16.71405,27.634494739092,13.6617087249185,-19.5416
0.01787126,1237649918971215933,19.59976,17.3842,27.8694242655029,13.2383764432307,-18.4831
0.01879848,1237648722297487542,18.33056,16.74355,164.010917353073,0.662001391455344,-17.7884
0.01879655,1237648722295914556,15.65273,14.39953,160.472554847851,0.793207071481437,-20.5842
0.01745841,1237648720701358357,18.42562,16.56597,197.099725794361,-0.481752415208276,-20.9547
0.01826324,1237648720701292666,18.06859,16.44784,196.934387579914,-0.573825740899112,-18.1734
0.01849591,1237648720686547139,17.14915,15.42028,163.336516468205,-0.606391886884775,-20.0847
0.01786385,1237648720164880847,18.99857,17.07372,197.974315168145,-0.858146577312134,-17.7912
0.01872899,1237648720164683836,15.88722,13.41638,197.599027893435,-1.01050791468458,-22.1096
0.01778415,1237648720164618489,18.25818,16.44738,197.41254296678,-0.889717046612982,-18.9134
0.01825436,1237648720164487493,18.58085,17.02213,197.09200920177,-0.960316252078908,-19.0959
0.01815001,1237648720164487375,18.64871,17.36579,197.131248190115,-0.844421206199432,-17.4487
0.01760112,1237648720164487323,18.4838,16.79155,197.073762892063,-0.853303951404841,-18.5579
0.01768984,1237648720164421894,16.03771,14.45277,196.959285823377,-0.868434140538903,-24.6904
0.01834389,1237648720164421894,16.03771,14.45277,196.959285823377,-0.868434140538903,-24.6904
0.01807604,1237648720164421639,15.26647,13.60074,196.911232475099,-0.942464163910737,-23.0254
0.01827526,1237648705656979834,17.99308,16.38509,197.519452391483,0.948815810068416,-19.7775
0.01837594,1237648705656848570,18.7015,16.74837,197.208643705387,1.00224666775435,-18.3434
0.01767002,1237663918418231397,17.67841,16.07051,129.037133073601,62.0421266198302,-20.575
0.0176028,1237663918417969335,18.64312,17.10773,128.375807449272,61.6604460363625,-18.1578
0.01756282,1237663785277653161,21.33168,20.80185,14.9293542753996,0.921657409469717,-14.6385
0.01763613,1237663785277653149,15.84294,14.37998,14.9254894152703,0.91660672916596,-21.3793
0.01760095,1237663784742814044,19.44196,18.48187,19.5515834052044,0.476842031863716,-16.3538
0.01731985,1237663784207843461,16.46646,14.56358,23.9027326849662,0.0149265009638419,-22.181
0.0175077,1237664291000156265,18.48338,16.98767,180.223704120317,15.2511057537246,-17.7516
0.01758036,1237663784194670742,21.58904,15.92273,353.804456314524,0.0455943488953109,-22.5663
0.01769207,1237663784194670735,16.95958,16.67712,353.807806347136,0.0416597088167941,-22.732
0.01765373,1237663784194670734,24.37375,16.47413,353.813419900324,0.036368284427588,-20.9567
0.0173672,1237663784194146369,16.31503,14.38836,352.606949347332,0.156711670753644,-22.0331
0.01779088,1237663716016717961,19.02416,16.67959,5.4408716039656,0.557591560022488,-19.1834
0.01753698,1237663531876155454,16.60153,14.46423,141.252513851201,64.5604012422566,-25.8021
0.01753317,1237663530795073577,15.96671,12.68577,121.834378751969,51.1316621649871,-24.7982
0.01754637,1237663530261610644,19.56572,17.80424,130.261709814666,57.2477408838325,-18.0056
0.01744271,1237663530261610606,17.29275,15.83704,130.18053042611,57.250135526517,-19.2049
0.01769955,1237663277929922594,17.04687,14.82025,4.94721347106713,0.590757930810735,-21.707
0.01731412,1237663277929725966,18.23095,16.56109,4.41646300384096,0.506238330539046,-18.7148
0.01734248,1237662636912869802,18.60744,16.79866,241.24517145326,8.45370148220195,-20.3372
0.01750102,1237662636375670925,16.23801,14.33368,240.457148945685,8.14827997750302,-22.3782
0.01739782,1237662534361940053,16.80943,14.25635,241.20759481236,8.48109082835908,-23.2513
0.01762137,1237662531139010693,15.45852,13.73006,212.259654174846,14.3169942666829,-23.5902
0.01759597,1237662531139010693,15.45852,13.73006,212.259654174846,14.3169942666829,-23.5902
0.01732405,1237662529528070149,16.01055,13.06387,211.250789330458,13.1318935405564,-23.3215
0.0174192,1237662529528004930,19.28347,17.68454,211.156390570422,13.2142761557582,-16.7434
0.01746293,1237664668432990319,18.17851,16.79556,149.368264005423,34.1238322049477,-17.785
0.01755319,1237662528454393907,16.81325,15.3564,211.425990368711,12.2419403563438,-21.1128
0.01746876,1237662498390802695,17.32043,15.78737,227.360433215102,42.5954385027881,-18.822
0.01767732,1237662305650999364,15.24182,12.22093,210.083824906,38.9154233385775,-24.7704
0.02940377,1237648722301682010,18.68014,17.46996,173.570312052366,0.695271726332753,-19.5219
0.02873833,1237654600497365012,16.81326,14.86204,167.64189699193,4.0710160298621,-21.4752
0.02910884,1237654600497365149,15.96225,13.73004,167.607399652591,3.98658279594273,-23.2514
0.02962781,1237649961380348081,19.17881,18.15906,47.7515703153523,-8.25125538459112,-17.1819
0.02968762,1237649961916039241,17.5979,15.934,44.8784266455968,-8.21955274450736,-19.5489
0.02857139,1237651212287607269,18.66557,17.38683,258.436957593704,57.7685119290639,-16.8493
0.02887622,1237654879665848483,17.55934,15.01014,220.738533496766,3.557532070988,-20.6717
0.02845632,1237667538004869381,19.26226,17.7205,144.136669099314,19.5621685195527,-17.8562
0.02836537,1237667538006048998,17.58123,16.1422,146.905159681221,20.2677225678199,-19.2972
0.02837335,1237667538538463508,19.66272,17.85118,136.49291687119,17.6400555691468,-18.2932
0.02954625,1237651212826116271,18.0276,16.33523,261.458822060197,54.3871672405542,-19.1908
0.02885402,1237651213361676381,20.00233,17.58566,260.429333804162,57.2846529192654,-17.8021
0.02929578,1237651225709445341,16.40662,14.8569,258.803228717752,57.7606626172986,-19.9687
0.02849781,1237651225709707613,19.06535,17.19407,259.473794403493,57.1268566071148,-19.3513
0.02920439,1237651226783645734,24.63471,16.13031,260.899381899298,56.980223761086,-21.45
0.02847577,1237655129310036449,18.76476,17.2409,259.507015817749,29.061110459968,-20.9814
0.02836992,1237667734520332392,18.42628,16.8829,212.919272408712,19.5842267091615,-17.7501
0.02848801,1237654602103062615,17.64691,15.70481,156.323150067151,4.93430302872747,-20.4728
0.02887907,1237652944233759136,17.08659,14.63346,324.094919383857,12.2363099606203,-22.093
0.028663,1237651539256082643,18.99081,17.44203,222.073406561694,62.9335968105545,-18.0766
0.02840126,1237665532245115130,16.8791,14.58805,205.074823801346,26.3495653497026,-22.0657
0.02837686,1237667911676788834,17.55016,15.02417,209.469052753853,23.0899103527557,-22.3168
0.02874906,1237651714801271119,18.39177,16.62392,253.741232087008,41.0547479467083,-19.5238
0.02930048,1237651735760077027,18.8592,17.59166,187.167570878787,1.90746173261515,-17.7385
0.02838714,1237668288543719458,16.38889,13.77509,148.131549640877,15.7754550871519,-22.0694
0.02942752,1237651737386221844,18.44871,16.65621,222.668550953021,2.81482548924888,-20.3275
0.02835064,1237668331491819847,18.86241,16.40336,221.803124012943,13.6750639692745,-20.2062
0.02837564,1237668332568903696,16.17445,13.69142,229.610038739138,12.9382036572778,-23.0235
